Source MAC,Destination MAC,Protocol,Port Dst,Size,Time,Access
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50717,1494,2024-12-27T20:05:52.093975,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:52.094211,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50717,1494,2024-12-27T20:05:52.120734,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:52.121007,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,256,2024-12-27T20:05:52.317433,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,609,2024-12-27T20:05:52.318041,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,506,2024-12-27T20:05:52.318210,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,97,2024-12-27T20:05:52.318301,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50717,1494,2024-12-27T20:05:53.660938,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:53.661722,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50717,1494,2024-12-27T20:05:53.720726,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:53.721050,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50717,1494,2024-12-27T20:05:53.783147,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:53.783323,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50721,1494,2024-12-27T20:05:53.875735,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:53.875981,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,50717,1494,2024-12-27T20:05:53.877436,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:53.877566,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,74,2024-12-27T20:05:55.332148,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:55.334959,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,583,2024-12-27T20:05:55.335044,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50721,1433,2024-12-27T20:05:55.642150,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50224,421,2024-12-27T20:05:55.642266,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:55.642297,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50725,1494,2024-12-27T20:05:55.642318,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,1494,2024-12-27T20:05:55.642353,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,5223,66,2024-12-27T20:05:55.643372,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:55.645794,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.794202,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.794289,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50725,101,2024-12-27T20:05:57.794312,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.794337,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.794360,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50725,101,2024-12-27T20:05:57.794382,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.794407,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,78,2024-12-27T20:05:57.794623,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.795623,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50725,66,2024-12-27T20:05:57.795663,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,78,2024-12-27T20:05:59.447420,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50728,66,2024-12-27T20:05:59.535693,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,54,2024-12-27T20:05:59.536598,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,571,2024-12-27T20:05:59.536677,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50728,54,2024-12-27T20:05:59.618270,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50728,181,2024-12-27T20:05:59.618353,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50728,60,2024-12-27T20:05:59.618377,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50728,101,2024-12-27T20:05:59.618396,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50728,1486,2024-12-27T20:05:59.618422,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50728,1486,2024-12-27T20:05:59.618452,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50729,66,2024-12-27T20:06:01.139851,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50729,1494,2024-12-27T20:06:01.139942,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50729,1494,2024-12-27T20:06:01.139977,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:06:01.140454,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50224,421,2024-12-27T20:06:01.167622,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50726,1494,2024-12-27T20:06:01.167716,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:06:01.167919,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,5223,66,2024-12-27T20:06:01.168101,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50726,766,2024-12-27T20:06:01.173798,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:06:01.174085,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,78,2024-12-27T20:06:02.792607,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,234,2024-12-27T20:06:02.794965,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,609,2024-12-27T20:06:02.795444,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,301,2024-12-27T20:06:02.795794,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,97,2024-12-27T20:06:02.795899,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50730,74,2024-12-27T20:06:03.116640,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50726,66,2024-12-27T20:06:03.116727,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50702,97,2024-12-27T20:06:03.116746,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50702,66,2024-12-27T20:06:03.116766,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:06:03.117289,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50731,1434,2024-12-27T20:06:04.345945,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,50729,66,2024-12-27T20:06:04.346064,Trusted
